Layer,Model,Description
Architecture of Systems,Homeostasis,System maintains internal stability through feedback.
Architecture of Systems,Limit Cycle,System settles into a stable oscillatory pattern rather than a fixed point.
Architecture of Systems,Emergence,New properties appear at higher levels that are not obvious from parts alone.
Architecture of Systems,Redundancy vs Efficiency,Trade-off between extra capacity for resilience and lean efficiency.
Logic of War & Strategy,OODA Loop,"Cycle of Observe–Orient–Decide–Act; faster, better loops win."
Logic of War & Strategy,Wu Wei,Effortless action aligned with the natural flow of events.
Logic of War & Strategy,Shoshin,Beginner’s mind that suspends preconceptions to see clearly.
Logic of War & Strategy,The 36 Stratagems,Classical set of pragmatic stratagems for deception and advantage.
Logic of War & Strategy,Defeat in Detail,Beat a larger force by engaging and destroying parts of it sequentially.
Logic of War & Strategy,Center of Gravity,Core source of an opponent’s strength and vulnerability.
Logic of War & Strategy,Mission Command,Leaders set intent and constraints; execution is decentralized.
Logic of War & Strategy,Fleet in Being,Mere existence of a force constrains enemy even if unused.
Logic of War & Strategy,Art of War,Strategic doctrine emphasizing winning without fighting.
Logic of War & Strategy,Fabian Strategy,Avoid decisive battles; wear down a stronger foe over time.
Logic of War & Strategy,Nash Equilibrium,State where no player can benefit by unilaterally changing strategy.
Logic of War & Strategy,Prisoner’s Dilemma,Game where mutual cooperation is best but defection is tempting.
Logic of War & Strategy,Stag Hunt,Game where high payoff requires mutual trust and coordination.
Logic of War & Strategy,Zero-Sum vs Non-Zero-Sum,Fixed-pie conflicts vs situations where total value can grow.
Logic of War & Strategy,Crossing the T,Positioning to maximize own firepower against enemy’s narrow exposure.
Logic of War & Strategy,Fog of War,Uncertainty and incomplete information in conflict.
Logic of War & Strategy,Pyrrhic Victory,Win so costly it functionally counts as a loss.
Logic of War & Strategy,Scorched Earth,Destroy resources to prevent opponent from using them.
Logic of War & Strategy,El Farol Bar Problem,Game where success depends on being in the informed minority.
Logic of War & Strategy,Mechanism Design,Designing rules and incentives so rational behavior yields desired outcomes.
Logic of War & Strategy,Common Knowledge,"Facts everyone knows that everyone knows, enabling coordination."
Logic of War & Strategy,Upaya,Skillful means: adapting tactics compassionately to context.
Logic of War & Strategy,Mandala Theory,States form concentric circles of allies and enemies based on geography.
Logic of War & Strategy,Matsyanyaya,"Law of the fish: in anarchy, the big devour the small."
Logic of War & Strategy,Dharma vs Adharma,Rightful order vs disorder as strategic framing and legitimacy.
Logic of War & Strategy,Fool the Sky to Cross the Sea,Act openly so your true intent looks innocuous.
Logic of War & Strategy,Besiege Wei to Rescue Zhao,Attack indirectly by threatening what the opponent must defend.
Logic of War & Strategy,Kill with a Borrowed Knife,Use a third party’s resources or power to attack your rival.
Logic of War & Strategy,Loot a Burning House,Exploit an opponent’s crisis to gain advantage.
Logic of War & Strategy,Make a Feint to the East,"Threaten one direction to draw defenses, then attack another."
Logic of War & Strategy,Stomp the Grass to Scare the Snake,Probe to flush out hidden threats or intentions.
Logic of War & Strategy,Borrow a Corpse to Resurrect the Soul,Revive abandoned ideas or brands in a new context.
Logic of War & Strategy,Lure the Tiger Out of the Mountain,Draw a strong opponent out of their favorable terrain.
Logic of War & Strategy,Toss a Brick to Attract Jade,Offer something small to provoke a larger concession.
Logic of War & Strategy,Capture the Ringleader First,Neutralize the key leader to collapse resistance.
Logic of War & Strategy,Remove the Ladder,"Encourage overextension, then cut off retreat."
Logic of War & Strategy,Deck the Tree with False Blossoms,Stage illusions of success or capability to influence others.
Logic of War & Strategy,Chain Stratagem,Link multiple stratagems sequentially for compounded effect.
Logic of War & Strategy,Empty Fort Strategy,Project confidence when weak so enemies hesitate.
Logic of War & Strategy,Culminating Point,Stage where continued attack overextends and reverses gains.
Logic of War & Strategy,Energy-Maneuverability Theory,Focus on energy advantage and maneuver rather than static position.
Logic of War & Strategy,Destruction and Creation,Shatter existing mental models to create new ones (Boyd).
Logic of War & Strategy,Force Multiplier,Factor that lets a given amount of force achieve outsized results.
Logic of War & Strategy,Defense in Depth,Layered defenses that absorb and slow attacks.
Logic of War & Strategy,Interior Lines,Use central position to shift forces quickly between threats.
Logic of War & Strategy,Strategic Paralysis,Target key nodes to freeze an opponent’s decision cycle.
Logic of War & Strategy,Decisive Point,Specific point where effort yields disproportionate strategic effect.
Logic of War & Strategy,Economy of Force,Allocate minimum essential resources to secondary efforts.
Logic of War & Strategy,Surprise,Act in ways the opponent does not anticipate to gain advantage.
Logic of War & Strategy,Choke Point,Narrow passage where small forces can control large flows.
Software of Society,Mimetic Desire,We learn what to want by copying others’ desires.
Software of Society,Scapegoat Mechanism,Groups discharge tension by blaming and expelling a victim.
Software of Society,Spiral of Silence,Minority views disappear as people self-censor.
Software of Society,Abilene Paradox,Groups agree to actions that almost no one individually wants.
Software of Society,Overton Window,Range of ideas considered acceptable in public discourse.
Software of Society,Iron Law of Oligarchy,Organizations drift toward rule by a small elite.
Software of Society,Pournelle’s Iron Law of Bureaucracy,Administrators prioritize the organization itself over its mission.
Software of Society,Shirky Principle,Institutions preserve the problems they were created to solve.
Software of Society,Dunbar’s Number,Cognitive limit of roughly 150 stable relationships.
Software of Society,Tall Poppy Syndrome,Cultures cut down those who stand out too much.
Software of Society,Price’s Law,Square root of contributors produces half the output.
Software of Society,Sayre’s Law,Academic politics are bitter because the stakes are small.
Software of Society,Gell-Mann Amnesia,We distrust media we know but trust it on topics we don’t know.
Software of Society,Streisand Effect,Attempts to censor information often amplify it.
Software of Society,Signaling Theory,Costly signals credibly convey hidden qualities.
Software of Society,Countersignaling,High-status actors show status by signaling less.
Software of Society,Veblen Goods,Demand rises as prices rise because they signal status.
Software of Society,Selectorate Theory,Leaders serve the winning coalition that keeps them in power.
Software of Society,Curley Effect,Policies drive out political opponents and entrench a base.
Software of Society,Hyperreality,Representations become more real-feeling than underlying reality.
Software of Society,Ringelmann Effect,Individual effort declines as group size increases.
Software of Society,Crab Bucket Mentality,Group pulls down any member trying to escape or excel.
Software of Society,Glass Cliff,Minority leaders are promoted into precarious roles likely to fail.
Software of Society,Positional Scarcity,"Value derived from relative position, not inherent utility."
Software of Society,Luxury Beliefs,Costly-to-adopt beliefs that signal status more than truth.
Software of Society,Law of Jante,Cultural norms that discourage standing out or succeeding.
Software of Society,Tocqueville Effect,Rising expectations make conditions feel worse even as they improve.
Software of Society,Elite Overproduction,Too many aspirants for too few elite slots destabilizes systems.
Software of Society,Gervais Principle,Middle managers absorb dysfunction between clueless top and cynical bottom.
Software of Society,Premium Mediocre,Offerings that are slightly fancier than mass-market but not truly elite.
Software of Society,Legibility,Simplifying complex realities for governance often destroys local nuance.
Software of Society,Metis,"Local, tacit know-how that resists central planning."
Software of Society,Preference Falsification,People misrepresent private preferences under social pressure.
Software of Society,Pluralistic Ignorance,Everyone privately disagrees but believes others support the norm.
Operating System of Business,Principal-Agent Problem,Agents’ incentives diverge from principals’ interests.
Operating System of Business,Moral Hazard,People take greater risks when others bear the cost.
Operating System of Business,Gresham’s Law,Bad money or behavior pushes out good in distorted systems.
Operating System of Business,Cantillon Effect,Those closest to new money benefit more from inflation.
Operating System of Business,Regulatory Arbitrage,Exploit gaps and differences between jurisdictions or rules.
Operating System of Business,Cobra Effect,Perverse incentives cause the opposite of intended outcomes.
Operating System of Business,Goodhart’s Law,"When a metric becomes a target, it stops being a good metric."
Operating System of Business,Information Asymmetry,One party’s superior information lets them extract rents.
Operating System of Business,Externalities,Costs or benefits not priced into a transaction.
Operating System of Business,Deadweight Loss,"Lost surplus from taxes, monopolies, or distortions."
Operating System of Business,Opportunity Cost,Value of the best alternative you forgo.
Operating System of Business,Sunk Cost,Irrecoverable past investments that shouldn’t dictate future choices.
Operating System of Business,Comparative Advantage,Specialize where you’re relatively best and trade for the rest.
Operating System of Business,Theory X / Theory Y,Assumptions of control-driven vs autonomy-driven management.
Operating System of Business,Parkinson’s Law,Work expands to fill the time allotted.
Operating System of Business,Peter Principle,People get promoted to their level of incompetence.
Operating System of Business,Survivor Bias,Focusing on winners and ignoring silent failures.
Operating System of Business,Disruptive Innovation,"Simple, cheap offerings grow to displace incumbents from below."
Operating System of Business,Blue Ocean Strategy,Create new demand in uncontested market space.
Operating System of Business,Economies of Scale,Per-unit costs fall as volume rises.
Operating System of Business,Hold-Up Problem,Relationship-specific investments invite opportunistic exploitation.
Operating System of Business,Soft Budget Constraint,Expectation of bailout encourages wasteful spending.
Operating System of Business,Market for Lemons,Quality uncertainty drives good products out of the market.
Operating System of Business,Jevons Paradox,Efficiency improvements increase total consumption.
Operating System of Business,Winner-Take-All Markets,Small performance differences lead to huge payout differences.
Operating System of Business,Pareto Efficiency,State where no one can be made better off without making someone worse off.
Operating System of Business,Diminishing Marginal Utility,Each additional unit yields less added satisfaction.
Operating System of Business,Rent Seeking,Using power to capture value without creating it.
Operating System of Business,Time Preference,Relative value placed on present vs future rewards.
Operating System of Business,Wardley Mapping,Map value chains and evolution to choose strategic plays.
Operating System of Business,Aggregation Theory,Digital aggregators gain power by owning demand and user relationships.
Operating System of Business,Seven Powers,Set of structural advantages that sustain long-term competitive power.
Operating System of Business,Innovator’s Dilemma,Incumbents ignore disruptive low-end innovations that later eat their core.
Operating System of Business,Crossing the Chasm,Challenge of moving from early adopters to mainstream customers.
Operating System of Business,Jobs to Be Done,Segment markets by underlying jobs customers hire solutions to do.
Operating System of Business,Flywheel Effect,Reinforcing loops where one success feeds the next.
Operating System of Business,Commoditization of Complements,Commoditize complements to protect your core profit source.
Operating System of Business,Smiling Curve,"Value concentrates at R&D and brand, not manufacturing middle."
Operating System of Business,Minimum Viable Product,Smallest coherent product that can be shipped to learn from real users.
Operating System of Business,Product-Market Fit,Point where product strongly satisfies a profitable market segment.
Operating System of Business,Bundling and Unbundling,Combine offerings to smooth demand or split them to capture niches.
Protocols of Professionalism,Triage,Prioritize limited resources to those where intervention matters most.
Protocols of Professionalism,Iatrogenics,Harm caused by the healer or the intervention itself.
Protocols of Professionalism,Therapeutic Window,Dose range where treatment is effective but not toxic.
Protocols of Professionalism,Differential Diagnosis,List possible causes and rule them in or out systematically.
Protocols of Professionalism,Audi Alteram Partem,Hear the other side before judging.
Protocols of Professionalism,Burden of Proof,Responsibility to provide convincing evidence lies with the claimant.
Protocols of Professionalism,Cui Bono,Ask who benefits to uncover motives.
Protocols of Professionalism,Stare Decisis,Follow precedent for stability and predictability.
Protocols of Professionalism,Force Majeure,Extraordinary events can excuse contractual performance.
Protocols of Professionalism,Volenti Non Fit Injuria,No injury is done to one who consents.
Protocols of Professionalism,Progressive Overload,Capacity grows when loads increase slightly over time.
Protocols of Professionalism,Supercompensation,Performance gains happen during recovery after stress.
Protocols of Professionalism,Explicit Monitoring,Overthinking mechanics under pressure causes choking.
Protocols of Professionalism,Deliberate Practice,Focused practice at the edge of ability with feedback.
Protocols of Professionalism,Visualization,Mental rehearsal primes neural pathways for action.
Protocols of Professionalism,The Yips,Sudden loss of fine motor control under stress.
Protocols of Professionalism,Standard of Proof Spectrum,Different decisions require different levels of evidential certainty.
Protocols of Professionalism,Proximate Cause vs Root Cause,Immediate legal cause vs deeper systemic causes of harm.
Protocols of Professionalism,Ubi Jus Ibi Remedium,"Where there is a right, there should be a remedy."
Protocols of Professionalism,Actus Dei Nemini Facit Injuriam,No one is liable for injury caused purely by acts of God.
Protocols of Professionalism,Functionalism in Adjudication,Judges shape law pragmatically to serve social functions.
Protocols of Professionalism,Final Appealable Order,Only certain decisions are ripe for appeal to avoid chaos.
Protocols of Professionalism,Burden of Proof Reversal,Sometimes the burden shifts to the defendant to disprove harm.
Protocols of Professionalism,Rule of Law,"Laws, not individuals, should govern; rules apply predictably."
Protocols of Professionalism,Nocebo Effect,Negative expectations cause worse outcomes from neutral treatments.
Protocols of Professionalism,Clinical Reasoning (Dual-Process),Fast intuitive and slow analytical thinking combine in diagnosis.
Protocols of Professionalism,Illness Scripts,Pattern recognition templates clinicians use to match symptoms to diseases.
Protocols of Professionalism,Diagnostic Checklists,Structured checks to catch cognitive errors and missed steps.
Protocols of Professionalism,Aggregation of Marginal Gains,Tiny consistent improvements across many areas compound into big gains.
Protocols of Professionalism,Metacognition in Diagnosis,Thinking about one’s own thinking to reduce diagnostic error.
Protocols of Professionalism,Mental Performance Periodization,Plan training and rest cycles to peak at key events.
Protocols of Professionalism,Locus of Control,Belief about whether outcomes are controlled internally or externally.
Protocols of Professionalism,Priming for Action,Subtle cues prepare mind and body for specific behaviors.
Interface of Perception,Map vs Territory,The representation is not the reality; all models simplify.
Interface of Perception,Chekhov’s Gun,Details introduced early should matter later; remove irrelevant elements.
Interface of Perception,Hero’s Journey,"Canonical narrative arc of departure, initiation, and return."
Interface of Perception,Ostranenie,Make the familiar strange to force fresh perception.
Interface of Perception,Negative Capability,Capacity to stay with uncertainty without forcing closure.
Interface of Perception,Rashomon Effect,Different observers tell conflicting yet sincere versions of events.
Interface of Perception,Narrative Transportation,Immersion in a story reduces critical distance.
Interface of Perception,Affordances,Design features that suggest their own use.
Interface of Perception,Desire Paths,User-created shortcuts reveal true usage patterns.
Interface of Perception,Skeuomorphism,Digital designs mimic physical objects for familiarity.
Interface of Perception,Hostile Architecture,Design that subtly restricts or controls behavior.
Interface of Perception,Uncanny Valley,Near-human designs trigger discomfort or revulsion.
Interface of Perception,Wabi-Sabi,Aesthetic appreciation of imperfection and impermanence.
Interface of Perception,Dark Patterns,UX designs that manipulate users into unintended actions.
Interface of Perception,Norman Doors,Interfaces whose affordances conflict with actual behavior.
Interface of Perception,Doherty Threshold,Interfaces feel fast when response times are under ~400 ms.
Interface of Perception,Tesler’s Law,Total complexity of a system is conserved; design chooses where it lives.
Interface of Perception,Fitts’s Law,Time to acquire a target depends on distance and size.
Interface of Perception,Hick’s Law,Decision time increases with the number of options.
Interface of Perception,Jakob’s Law,Users prefer your interface to work like others they already know.
Interface of Perception,Peak-End Rule,"People remember experiences by their peak and end, not average."
Interface of Perception,Miller’s Law,Working memory can hold about 7±2 chunks of information.
Interface of Perception,Aesthetic-Usability Effect,People perceive prettier designs as easier to use.
Interface of Perception,Banner Blindness,Users ignore elements that look like ads.
Interface of Perception,Diegesis vs Mimesis,Telling vs showing in narrative; exposition vs dramatization.
Interface of Perception,Deus Ex Machina,"Sudden, contrived resolution that breaks narrative credibility."
Interface of Perception,Foregrounding,Bringing certain elements into emphasis to reshape interpretation.
Interface of Perception,Negative Space / Ma,Use of emptiness or gaps as a meaningful design element.
Code of Computation,Bayes’ Theorem,Update probability beliefs as new evidence arrives.
Code of Computation,Simpson’s Paradox,Aggregate trends reverse when data is grouped differently.
Code of Computation,Kelly Criterion,Optimal bet sizing to maximize long-term growth and avoid ruin.
Code of Computation,Benford’s Law,Leading digits follow a predictable distribution; anomalies suggest fraud.
Code of Computation,Conway’s Law,Systems mirror the communication structure of the organizations that build them.
Code of Computation,Brooks’ Law,Adding people to a late project makes it later.
Code of Computation,Technical Debt,Shortcut choices today create extra work tomorrow.
Code of Computation,Leaky Abstractions,All abstractions eventually leak underlying complexity.
Code of Computation,CAP Theorem,"Distributed systems cannot fully optimize consistency, availability, and partition tolerance simultaneously."
Code of Computation,Linus’s Law,"Given enough eyeballs, all bugs are shallow."
Code of Computation,Moore’s Law,Compute capacity per dollar tends to double periodically.
Code of Computation,Algorithm of Truth,"Algorithms optimize for engagement or objectives, not necessarily truth."
Code of Computation,Garbage In Garbage Out,Bad inputs guarantee bad outputs regardless of processing.
Code of Computation,MapReduce,"Split computations, process in parallel, then aggregate results."
Code of Computation,Secretary Problem,Optimal stopping rule for picking the best option from a sequence.
Code of Computation,Berkson’s Paradox,Selection bias induces spurious negative correlations.
Code of Computation,Friendship Paradox,"On average, your friends have more friends than you do."
Code of Computation,Inspection Paradox,Observed durations tend to be longer than typical because long intervals are oversampled.
Code of Computation,Condorcet Paradox,Collective preferences can be cyclic even when individual preferences are not.
Code of Computation,Will Rogers Phenomenon,Moving items between groups can improve both groups’ averages.
Code of Computation,Gambler’s Ruin,Player with finite bankroll eventually loses against an infinite bank.
Code of Computation,Alchian-Allen Theorem,Fixed costs make higher-quality options relatively cheaper in bundled pricing.
Code of Computation,Law of Small Numbers,People overgeneralize from small samples.
Code of Computation,St Petersburg Paradox,Infinite expected value can still be unattractive due to risk perception.
Code of Computation,Ellsberg Paradox,People prefer known risks over ambiguous ones.
Code of Computation,Little’s Law,Average items in system = arrival rate × average time in system.
Code of Computation,Fredkin’s Paradox,Making choices becomes harder as options become more similar.
Code of Computation,Degrees of Freedom,Number of independent parameters that can vary in a system or model.
Code of Computation,Stable Marriage Problem,Algorithmic matching of two sets based on preferences without instability.
Code of Computation,Power Law,Distributions where a few events dominate totals; tails matter greatly.
Code of Computation,Reed’s Law,Networks supporting group formation grow value roughly with 2^n.
Code of Computation,Strength of Weak Ties,Loose connections bridge clusters and spread information.
Code of Computation,Viral Coefficient,Expected new users generated by each existing user.
Code of Computation,Herd Immunity,Threshold where enough resistant nodes stop spread in the network.
Code of Computation,Echo Chamber,Network where opinions are reinforced by insular feedback.
Code of Computation,Filter Bubble,Personalization filters out disconfirming information.
Code of Computation,Information Cascade,People ignore private info to follow observed actions of others.
Code of Computation,Worse is Better,"Simple, good-enough solutions spread more than complex ideal ones."
Code of Computation,Hyrum’s Law,"With enough users, every observable behavior of a system will be depended on."
Code of Computation,Postel’s Law,Be liberal in what you accept and conservative in what you send.
Code of Computation,Yak Shaving,Series of small tasks that arise while trying to complete a larger goal.
Code of Computation,Hofstadter’s Law,"It always takes longer than you expect, even when you account for it."
Code of Computation,Clarke’s Third Law,Any sufficiently advanced technology is indistinguishable from magic.
Code of Computation,Technological Singularity,Hypothetical point where self-improving AI accelerates beyond human control.
Code of Computation,Paperclip Maximizer,"Simple mis-specified objective leads to extreme, unintended optimization."
Code of Computation,Roko’s Basilisk,Thought experiment about dangerous incentives around future omnipotent agents.
Code of Computation,Solomonoff Induction,Idealized Bayesian prediction weighted over all computable hypotheses.
Code of Computation,Halting Problem,No general algorithm can decide for all programs whether they halt.
Code of Computation,Blockchain Trilemma,"Trade-off among decentralization, security, and scalability."
Code of Computation,Kerckhoffs’s Principle,Systems should remain secure even if everything about them except the key is public.
Code of Computation,Red-Black Tree,Self-balancing data structure; metaphor for enforcing invariants to keep systems healthy.
Code of Computation,Finite State Machine,Model of behavior as transitions between a finite set of states.
Code of Computation,Code Switching,Shifting language or behavior to match different social contexts.
Code of Computation,Sapir-Whorf Hypothesis,Language influences how we perceive and think about the world.
Decision Hygiene & Logic,Occam’s Razor,Prefer simpler explanations that require fewer assumptions.
Decision Hygiene & Logic,Hanlon’s Razor,Don’t attribute to malice what can be explained by incompetence or error.
Decision Hygiene & Logic,Hitchens’s Razor,Claims without evidence can be dismissed without evidence.
Decision Hygiene & Logic,Chesterton’s Fence,Understand why a rule exists before removing or changing it.
Decision Hygiene & Logic,Inversion,Think from the opposite direction; focus on avoiding failure.
Decision Hygiene & Logic,Circle of Competence,Know what you understand well and stay mostly within it.
Decision Hygiene & Logic,First Principles,Strip problems to fundamentals and reason up from there.
Decision Hygiene & Logic,Steel-Manning,Argue your opponent’s strongest case fairly before criticizing.
Decision Hygiene & Logic,Motte and Bailey,Switch between a defensible position and a more extreme one opportunistically.
Decision Hygiene & Logic,Principle of Charity,Interpret others’ arguments in their strongest reasonable form.
Decision Hygiene & Logic,Pre-Mortem,Assume a project failed and work backward to find causes.
Decision Hygiene & Logic,Veil of Ignorance,Design rules as if you didn’t know what position you’d occupy.
Decision Hygiene & Logic,Thucydides Trap,Rising powers and ruling powers often end up in conflict.
Decision Hygiene & Logic,Potemkin Village,Superficial facade hides underlying weakness.
Decision Hygiene & Logic,Hume’s Guillotine,Cannot logically derive an “ought” solely from an “is.”
Decision Hygiene & Logic,Precautionary Principle,"Where uncertainty is high and stakes are catastrophic, err on the side of caution."
Decision Hygiene & Logic,Einstellung Effect,Familiar solutions block seeing better alternatives.
Decision Hygiene & Logic,Ship of Theseus,Explores identity when all components gradually change.
Decision Hygiene & Logic,Sagan Standard,Extraordinary claims require extraordinary evidence.
Decision Hygiene & Logic,Popper’s Falsifiability,Scientific claims must be testable and refutable.
Decision Hygiene & Logic,Luck Razor,Prefer explanations that do not rely on extraordinary luck.
Decision Hygiene & Logic,Arena Razor,Weight opinions more from those who are in the arena doing the work.
Decision Hygiene & Logic,Feynman’s Razor,"If you cannot explain it simply, you might not really understand it."
Decision Hygiene & Logic,Law of Triviality (Bikeshedding),"Groups obsess over small, easy issues and ignore the big ones."
Decision Hygiene & Logic,Gish Gallop,Overwhelm debate with many weak arguments too numerous to refute.
Decision Hygiene & Logic,Bulverism,Assume your opponent is wrong and then attack their motives.
Decision Hygiene & Logic,Toxoplasma of Rage,Controversial topics spread farther because they induce outrage.
Decision Hygiene & Logic,Weak Man Fallacy,Attack the weakest version of an opposing view instead of the strongest.
Decision Hygiene & Logic,Nutpicking,Highlighting extreme opponents to discredit a whole side.
Decision Hygiene & Logic,Kafka Trap,Any denial of guilt is taken as proof of guilt.
Decision Hygiene & Logic,Alder’s Razor,"If something cannot be settled by experiment or observation, it is not worth debating much."
Decision Hygiene & Logic,Poe’s Law,"Without clear markers, it’s hard to distinguish satire from extremism."
Decision Hygiene & Logic,Cunningham’s Law,The best way to get the right answer online is to state the wrong one.
Decision Hygiene & Logic,Brandolini’s Law,The energy to refute nonsense is an order of magnitude bigger than to produce it.
Decision Hygiene & Logic,Godwin’s Law,"In long debates, comparisons to Nazis become increasingly likely."
Decision Hygiene & Logic,Russell’s Teapot,"Burden of proof lies on the claimant, not the skeptic."
Physics of Reality,Strange Attractors,Patterns toward which chaotic systems tend to evolve.
